"week","AreaCovered","Mar2021","Mar2019","change"
1,"Central London",1564,315,396.507936507937
2,"Central London",1616,477,238.784067085954
3,"Central London",1701,490,247.142857142857
4,"Central London",1592,551,188.929219600726
5,"Central London",1671,505,230.891089108911
6,"Central London",1724,531,224.670433145009
7,"Central London",1572,463,239.524838012959
8,"Central London",1678,475,253.263157894737
9,"Central London",1843,488,277.66393442623
10,"Central London",1591,592,168.75
11,"Central London",1560,499,212.625250501002
12,"Central London",1679,562,198.754448398576
1,"East London",494,163,203.067484662577
2,"East London",563,330,70.6060606060606
3,"East London",579,322,79.8136645962733
4,"East London",578,358,61.4525139664804
5,"East London",603,285,111.578947368421
6,"East London",561,371,51.2129380053908
7,"East London",490,333,47.1471471471471
8,"East London",595,352,69.0340909090909
9,"East London",674,360,87.2222222222222
10,"East London",585,363,61.1570247933884
11,"East London",589,366,60.9289617486339
12,"East London",624,351,77.7777777777778
1,"North London",606,290,108.965517241379
2,"North London",734,414,77.2946859903382
3,"North London",809,436,85.5504587155963
4,"North London",797,401,98.7531172069825
5,"North London",733,387,89.405684754522
6,"North London",936,477,96.2264150943396
7,"North London",728,424,71.6981132075472
8,"North London",815,421,93.5866983372922
9,"North London",901,426,111.50234741784
10,"North London",841,480,75.2083333333333
11,"North London",808,451,79.1574279379157
12,"North London",856,449,90.6458797327394
1,"South East London",312,140,122.857142857143
2,"South East London",327,176,85.7954545454545
3,"South East London",351,210,67.1428571428572
4,"South East London",373,186,100.537634408602
5,"South East London",340,180,88.8888888888889
6,"South East London",338,252,34.1269841269841
7,"South East London",296,211,40.2843601895735
8,"South East London",390,206,89.3203883495146
9,"South East London",388,237,63.7130801687764
10,"South East London",323,217,48.8479262672811
11,"South East London",322,215,49.7674418604651
12,"South East London",359,242,48.3471074380165
1,"South West London",336,151,122.516556291391
2,"South West London",386,260,48.4615384615385
3,"South West London",381,268,42.1641791044776
4,"South West London",367,269,36.4312267657993
5,"South West London",407,249,63.4538152610442
6,"South West London",403,271,48.7084870848709
7,"South West London",332,250,32.8
8,"South West London",404,215,87.906976744186
9,"South West London",438,264,65.9090909090909
10,"South West London",370,244,51.6393442622951
11,"South West London",363,277,31.0469314079422
12,"South West London",358,273,31.1355311355311
1,"West London",346,175,97.7142857142857
2,"West London",470,281,67.2597864768683
3,"West London",494,281,75.8007117437722
4,"West London",494,325,52
5,"West London",468,293,59.7269624573379
6,"West London",519,385,34.8051948051948
7,"West London",484,292,65.7534246575342
8,"West London",533,289,84.4290657439446
9,"West London",611,315,93.968253968254
10,"West London",527,354,48.8700564971751
11,"West London",494,314,57.3248407643312
12,"West London",488,338,44.3786982248521
