"week","AreaCovered","June2021","June2019","change"
1,"Central London",1523,290,425.172413793103
2,"Central London",1581,433,265.127020785219
3,"Central London",1673,445,275.955056179775
4,"Central London",1548,493,213.995943204868
5,"Central London",1651,459,259.694989106754
6,"Central London",1694,492,244.308943089431
7,"Central London",1548,429,260.839160839161
8,"Central London",1647,447,268.456375838926
9,"Central London",1802,448,302.232142857143
10,"Central London",1561,560,178.75
11,"Central London",1537,470,227.021276595745
12,"Central London",1665,517,222.050290135396
13,"Central London",1877,582,222.508591065292
14,"Central London",1340,460,191.304347826087
15,"Central London",1780,691,157.597684515195
16,"Central London",1591,278,472.302158273381
17,"Central London",1874,482,288.796680497925
18,"Central London",1450,431,236.426914153132
19,"Central London",1512,518,191.891891891892
20,"Central London",1866,574,225.087108013937
21,"Central London",1403,425,230.117647058824
22,"Central London",1337,503,165.805168986084
23,"Central London",1431,508,181.692913385827
24,"Central London",1257,513,145.029239766082
25,"Central London",1286,483,166.252587991718
1,"East London",484,153,216.339869281046
2,"East London",557,298,86.9127516778524
3,"East London",577,301,91.6943521594684
4,"East London",568,326,74.2331288343558
5,"East London",592,258,129.457364341085
6,"East London",554,336,64.8809523809524
7,"East London",494,311,58.8424437299035
8,"East London",591,336,75.8928571428571
9,"East London",670,343,95.33527696793
10,"East London",584,340,71.7647058823529
11,"East London",583,365,59.7260273972603
12,"East London",611,344,77.6162790697674
13,"East London",681,386,76.4248704663213
14,"East London",578,311,85.8520900321544
15,"East London",646,375,72.2666666666667
16,"East London",637,232,174.568965517241
17,"East London",589,354,66.3841807909604
18,"East London",545,227,140.088105726872
19,"East London",626,312,100.641025641026
20,"East London",715,381,87.6640419947507
21,"East London",547,312,75.3205128205128
22,"East London",493,333,48.0480480480481
23,"East London",556,318,74.8427672955975
24,"East London",481,338,42.3076923076923
25,"East London",521,291,79.0378006872852
1,"North London",591,273,116.483516483516
2,"North London",718,374,91.9786096256684
3,"North London",787,398,97.7386934673367
4,"North London",783,352,122.443181818182
5,"North London",719,347,107.204610951009
6,"North London",916,424,116.037735849057
7,"North London",711,384,85.15625
8,"North London",803,402,99.7512437810945
9,"North London",894,413,116.464891041162
10,"North London",820,470,74.468085106383
11,"North London",783,431,81.6705336426914
12,"North London",830,439,89.0660592255125
13,"North London",807,512,57.6171875
14,"North London",659,430,53.2558139534884
15,"North London",809,486,66.4609053497942
16,"North London",675,287,135.191637630662
17,"North London",767,381,101.312335958005
18,"North London",710,362,96.1325966850829
19,"North London",778,477,63.1027253668763
20,"North London",884,444,99.0990990990991
21,"North London",707,358,97.4860335195531
22,"North London",678,374,81.283422459893
23,"North London",681,382,78.2722513089005
24,"North London",636,439,44.874715261959
25,"North London",741,430,72.3255813953488
1,"South East London",311,128,142.96875
2,"South East London",317,158,100.632911392405
3,"South East London",343,183,87.4316939890711
4,"South East London",371,158,134.810126582278
5,"South East London",331,155,113.548387096774
6,"South East London",330,220,50
7,"South East London",289,193,49.740932642487
8,"South East London",383,192,99.4791666666667
9,"South East London",377,231,63.2034632034632
10,"South East London",322,195,65.1282051282051
11,"South East London",320,209,53.11004784689
12,"South East London",354,230,53.9130434782609
13,"South East London",357,243,46.9135802469136
14,"South East London",280,213,31.4553990610329
15,"South East London",321,264,21.5909090909091
16,"South East London",362,150,141.333333333333
17,"South East London",359,238,50.8403361344538
18,"South East London",269,138,94.9275362318841
19,"South East London",312,220,41.8181818181818
20,"South East London",383,218,75.6880733944954
21,"South East London",271,169,60.3550295857988
22,"South East London",261,225,16
23,"South East London",289,217,33.1797235023041
24,"South East London",266,236,12.7118644067797
25,"South East London",297,182,63.1868131868132
1,"South West London",332,142,133.802816901408
2,"South West London",378,237,59.493670886076
3,"South West London",371,235,57.8723404255319
4,"South West London",361,247,46.1538461538461
5,"South West London",395,230,71.7391304347826
6,"South West London",393,246,59.7560975609756
7,"South West London",328,236,38.9830508474576
8,"South West London",406,205,98.0487804878049
9,"South West London",438,246,78.0487804878049
10,"South West London",370,222,66.6666666666667
11,"South West London",347,264,31.4393939393939
12,"South West London",350,265,32.0754716981132
13,"South West London",403,286,40.9090909090909
14,"South West London",310,232,33.6206896551724
15,"South West London",354,297,19.1919191919192
16,"South West London",340,149,128.187919463087
17,"South West London",374,226,65.4867256637168
18,"South West London",306,175,74.8571428571429
19,"South West London",368,259,42.0849420849421
20,"South West London",359,289,24.2214532871972
21,"South West London",385,192,100.520833333333
22,"South West London",331,226,46.4601769911504
23,"South West London",355,246,44.3089430894309
24,"South West London",338,268,26.1194029850746
25,"South West London",328,223,47.085201793722
1,"West London",359,163,120.245398773006
2,"West London",483,261,85.0574712643678
3,"West London",496,256,93.75
4,"West London",490,300,63.3333333333333
5,"West London",473,263,79.8479087452471
6,"West London",519,360,44.1666666666667
7,"West London",498,282,76.5957446808511
8,"West London",525,284,84.8591549295775
9,"West London",621,325,91.0769230769231
10,"West London",527,351,50.1424501424501
11,"West London",501,311,61.0932475884244
12,"West London",507,343,47.8134110787172
13,"West London",590,329,79.3313069908815
14,"West London",434,355,22.2535211267606
15,"West London",518,336,54.1666666666667
16,"West London",544,218,149.54128440367
17,"West London",483,306,57.843137254902
18,"West London",469,280,67.5
19,"West London",514,362,41.9889502762431
20,"West London",586,333,75.975975975976
21,"West London",436,286,52.4475524475524
22,"West London",435,317,37.2239747634069
23,"West London",528,294,79.5918367346939
24,"West London",488,309,57.9288025889968
25,"West London",464,253,83.399209486166
