week,ratio20_19,ratio21_19,ratio21_20,ratio22_21,ratio22_19,ratio22_20
1,1.297663904,2.443293142,1.882839721,0.933765132,2.281461944,1.758130081
2,1.253775322,1.868262738,1.490109675,1.062035881,1.984162063,1.582549941
3,1.287277383,1.865091375,1.448865178,0.986144917,1.839250378,1.42879103
4,1.155308505,1.710839355,1.480850654,1.034310222,1.769538633,1.531658968
5,1.160838309,1.916534666,1.650991918,NA,NA,NA
6,1.19493257,1.761953412,1.474521204,NA,NA,NA
7,1.252897303,1.705679862,1.361388406,NA,NA,NA
8,1.177358069,1.88623156,1.602088277,NA,NA,NA
9,1.113621691,2.010436841,1.80531401,NA,NA,NA
10,1.041878669,1.572700587,1.509485349,NA,NA,NA
11,0.99500102,1.673536013,1.681944017,NA,NA,NA
12,0.804537697,1.694006626,2.105565261,NA,NA,NA
13,0.592692955,1.719772005,2.901623837,NA,NA,NA
14,0.686270471,1.475126172,2.149482215,NA,NA,NA
15,0.330640563,1.539346132,4.655648175,NA,NA,NA
16,1.347143334,2.45556298,1.822792659,NA,NA,NA
17,0.800505922,1.815683569,2.268170066,NA,NA,NA
18,1.09867119,1.951653944,1.776376737,NA,NA,NA
19,0.853709394,1.690847234,1.980588765,NA,NA,NA
20,1.018500695,1.896695541,1.862242755,NA,NA,NA
21,1.069974227,1.836082474,1.716006263,NA,NA,NA
22,1.433779145,1.492247603,1.040779264,NA,NA,NA
23,1.477867903,1.639745075,1.109534264,NA,NA,NA
24,1.380708398,1.466807752,1.062358825,NA,NA,NA
25,1.497733238,1.613815319,1.077505178,NA,NA,NA
26,1.309947028,1.655562095,1.263838965,NA,NA,NA
27,1.429998937,1.429998937,1,NA,NA,NA
28,1.366386358,1.488320486,1.089238396,NA,NA,NA
29,1.490747504,1.569515461,1.052837893,NA,NA,NA
30,1.417959283,1.623364033,1.144859414,NA,NA,NA
31,1.515162631,1.582416239,1.044387055,NA,NA,NA
32,1.253228457,1.611645926,1.285995316,NA,NA,NA
33,1.448572835,1.571604331,1.084932903,NA,NA,NA
34,1.666170339,2.055241215,1.233512064,NA,NA,NA
35,1.428406615,1.591847199,1.11442161,NA,NA,NA
36,1.700951726,1.557504873,0.915666712,NA,NA,NA
37,1.6151779,1.653445125,1.023692267,NA,NA,NA
38,1.716195652,1.516630435,0.883716511,NA,NA,NA
39,1.795691686,1.731066981,0.964011246,NA,NA,NA
40,2.033746485,1.466722216,0.721192256,NA,NA,NA
41,1.505986829,1.404709639,0.932750282,NA,NA,NA
42,1.73253012,1.893861159,1.09311875,NA,NA,NA
43,1.719819024,1.627896712,0.946551171,NA,NA,NA
44,1.847937836,1.765092648,0.955168845,NA,NA,NA
45,1.699988483,1.810894852,1.065239482,NA,NA,NA
46,2.113517896,1.795667786,0.849610874,NA,NA,NA
47,1.656016921,1.536346432,0.927735951,NA,NA,NA
48,1.582189488,1.520031247,0.960713782,NA,NA,NA
49,1.969607843,1.815318627,0.921665007,NA,NA,NA
50,1.671821756,1.792267366,1.072044528,NA,NA,NA
51,1.571837367,1.467628473,0.933702496,NA,NA,NA
52,2.162384378,2.26276122,1.046419518,NA,NA,NA
